time,D_loss_real,D_loss_fake,G_loss,epoch
1591718962.8726,0.288,0.287,23.108,5
1591718962.9135,0.292,0.282,22.112,5
1591718962.9485,0.282,0.289,13.521,5
1591718962.9913,0.358,0.282,14.885,5
1591718963.0273,0.286,0.285,23.505,5
1591718963.0651,0.3,0.286,24.142,5
1591718963.104,0.291,0.288,17.149,5
1591718963.1449,0.353,0.292,11.875,5
1591718963.1848,0.313,0.29,12.421,5
1591718963.2287,0.317,0.292,11.606,5
1591718963.2676,0.349,0.297,17.47,5
1591718963.3105,0.308,0.29,14.111,5
1591718963.3493,0.364,0.283,12.482,5
1591718963.3963,0.286,0.28,30.424,5
1591718963.4441,0.289,0.283,14.129,5
1591718963.484,0.326,0.281,12.761,5
1591718963.5229,0.489,0.284,13.8,5
1591718963.5628,0.334,0.281,22.898,5
1591718963.5987,0.324,0.293,21.396,5
1591718963.6357,0.291,0.284,14.158,5
1591718963.6706,0.318,0.307,17.598,5
1591718963.7075,0.328,0.285,15.042,5
1591718963.7422,0.341,0.294,22.624,5
1591718963.7831,0.334,0.295,15.639,5
1591718963.819,0.301,0.29,15.668,5
1591718963.8589,0.297,0.285,15.097,5
1591718963.8938,0.302,0.289,15.449,5
1591718963.9317,0.29,0.286,26.98,5
1591718963.9686,0.321,0.284,13.244,5
1591718964.0085,0.3,0.285,13.486,5
1591718964.0444,0.283,0.502,17.43,5
1591718964.0793,0.549,0.636,12.938,5
1591718964.1132,0.343,0.286,17.355,5
1591718964.1491,0.366,0.304,21.421,5
1591718964.184,0.295,0.306,16.245,5
1591718964.2249,0.284,0.295,17.676,5
1591718964.2618,0.91,0.297,20.097,5
1591718964.3027,0.296,0.311,14.862,5
1591718964.3446,0.304,0.292,23.591,5
1591718964.3875,0.289,0.284,18.851,5
1591718964.4342,0.285,0.282,19.639,5
1591718964.4761,0.291,0.297,22.356,5
1591718964.5122,0.285,0.597,19.645,5
1591718964.5461,0.379,0.745,13.102,5
1591718964.584,0.305,0.303,13.361,5
1591718964.6219,0.284,0.286,10.259,5
1591718964.6575,0.344,0.294,13.79,5
1591718964.6984,0.284,0.292,20.03,5
1591718964.7354,0.29,0.29,11.759,5
1591718964.7743,0.287,0.3,21.794,5
1591718964.8124,0.308,0.301,20.35,5
1591718964.8523,0.285,0.285,14.636,5
1591718964.8922,0.283,0.283,24.687,5
1591718964.935,0.417,0.673,9.695,5
1591718964.9799,0.288,0.293,12.492,5
1591718965.0238,0.303,0.286,33.935,5
1591718965.0706,0.562,0.285,11.716,5
1591718965.1225,0.287,0.293,17.152,5
1591718965.1704,0.289,0.286,17.225,5
1591718965.2223,0.338,0.283,19.463,5
1591718965.2593,0.295,0.285,22.386,5
1591718965.2962,0.289,0.282,21.01,5
1591718965.3321,0.285,0.283,15.888,5
1591718965.371,0.291,0.281,19.165,5
1591718965.4069,0.292,0.283,15.831,5
1591718965.4508,0.299,0.282,14.203,5
1591718965.4977,0.281,0.29,17.279,5
1591718965.5336,0.289,0.281,16.758,5
1591718965.5745,0.292,0.281,10.515,5
1591718965.6174,0.288,0.285,15.092,5
1591718965.6553,0.281,0.288,14.538,5
1591718965.6922,0.29,0.286,10.269,5
1591718965.7321,0.302,0.296,13.996,5
1591718965.774,0.284,0.282,22.622,5
1591718965.8239,0.282,0.319,20.742,5
1591718965.8777,0.31,0.283,13.358,5
1591718965.9196,0.288,0.307,14.09,5
1591718965.9585,0.285,0.311,15.397,5
1591718966.0073,0.299,0.405,14.812,5
1591718966.0482,0.281,0.549,24.064,5
1591718966.0852,0.492,0.285,15.003,5
1591718966.1267,0.286,0.284,14.499,5
1591718966.1676,0.306,0.286,12.206,5
1591718966.2025,0.312,0.287,10.579,5
1591718966.2394,0.282,0.293,16.907,5
1591718966.2773,0.287,0.287,10.593,5
1591718966.3122,0.332,0.289,21.74,5
1591718966.3481,0.311,0.29,18.439,5
1591718966.3827,0.322,0.287,12.222,5
1591718966.4176,0.282,0.287,12.971,5
1591718966.4595,0.282,0.287,12.561,5
1591718966.5024,0.28,0.286,12.604,5
1591718966.5413,0.28,0.294,10.583,5
1591718966.5789,0.283,0.283,18.187,5
1591718966.6168,0.282,0.31,18.135,5
1591718966.6543,0.297,0.309,13.152,5
1591718966.6932,0.283,0.407,9.165,5
1591718966.7416,0.321,0.94,19.27,5
1591718966.7855,0.292,0.514,23.189,5
1591718966.8244,0.285,0.666,14.955,5
1591718966.8613,1.065,0.283,16.398,5
1591718966.8992,0.29,0.291,20.058,5
1591718966.9381,0.338,0.315,13.412,5
1591718966.9819,0.286,0.28,20.079,5
1591718967.0189,0.537,0.339,13.43,5
1591718967.0578,0.32,0.295,14.366,5
1591718967.1057,0.383,0.293,13.22,5
1591718967.1436,0.284,0.325,14.776,5
1591718967.1824,0.311,0.33,15.061,5
1591718967.2273,0.292,0.329,10.242,5
1591718967.2662,0.286,0.297,20.631,5
1591718967.3091,0.283,0.297,17.26,5
1591718967.346,0.296,0.312,14.275,5
1591718967.3809,0.289,0.295,10.087,5
1591718967.4228,0.504,0.3,16.93,5
1591718967.4637,0.322,0.307,19.724,5
1591718967.4986,0.285,0.295,12.32,5
1591718967.5385,0.472,0.31,17.42,5
1591718967.5771,0.306,0.297,14.801,5
1591718967.6122,0.293,0.282,13.925,5
1591718967.6491,0.33,0.284,12.743,5
1591718967.684,0.287,0.28,13.614,5
1591718967.721,0.333,0.284,10.586,5
1591718967.7619,0.285,0.285,10.122,5
1591718967.8057,0.308,0.295,23.673,5
1591718967.8488,0.294,0.285,13.053,5
1591718967.8896,0.318,0.282,14.986,5
1591718967.9285,0.296,0.295,18.109,5
1591718967.9724,0.314,0.284,12.483,5
1591718968.0113,0.316,0.3,14.866,5
1591718968.0542,0.335,0.376,12.74,5
1591718968.0911,0.342,0.392,13.834,5
1591718968.129,0.33,0.292,20.495,5
1591718968.1659,0.287,0.296,14.958,5
1591718968.2008,0.284,0.29,12.726,5
1591718968.2476,0.293,0.294,11.193,5
1591718968.2876,0.291,0.289,15.667,5
1591718968.3324,0.297,0.285,9.428,5
1591718968.3763,0.371,0.287,12.191,5
1591718968.4202,0.281,0.284,17.66,5
1591718968.4571,0.284,0.291,15.229,5
1591718968.506,0.296,0.286,16.177,5
1591718968.5439,0.296,0.288,16.726,5
1591718968.5838,0.282,0.281,27.752,5
1591718968.6267,0.29,0.282,12.224,5
1591718968.6726,0.286,0.284,13.903,5
1591718968.7124,0.285,0.309,22.156,5
1591718968.7563,0.373,0.33,17.94,5
1591718968.7932,0.308,1.297,16.758,5
1591718968.8281,0.401,0.322,11.226,5
1591718968.873,0.281,0.417,16.783,5
1591718968.9089,0.336,0.287,13.949,5
1591718968.9438,0.286,0.471,31.208,5
1591718968.9807,0.283,0.285,13.775,5
1591718969.0166,0.305,0.292,18.0,5
1591718969.0575,0.346,0.292,12.219,5
1591718969.0964,0.877,0.331,14.643,5
1591718969.1363,0.548,0.327,13.895,5
1591718969.1742,0.427,0.285,11.789,5
1591718969.2181,0.428,0.284,19.026,5
1591718969.259,0.408,0.298,14.389,5
1591718969.2998,0.281,0.287,12.74,5
1591718969.3468,0.28,0.811,11.687,5
1591718969.3837,0.324,0.305,16.645,5
1591718969.4235,0.284,0.321,18.663,5
1591718969.4724,0.293,0.294,14.759,5
1591718969.5143,0.469,0.305,18.602,5
1591718969.5602,0.282,0.29,12.314,5
1591718969.5961,0.303,0.288,17.94,5
1591718969.634,0.292,0.285,21.077,5
1591718969.6719,0.294,0.288,18.776,5
1591718969.7088,0.333,0.283,11.282,5
1591718969.7487,0.298,0.283,15.074,5
1591718969.7836,0.292,0.281,17.431,5
1591718969.8255,0.283,0.291,18.868,5
1591718969.8673,0.295,0.284,22.545,5
1591718969.9092,0.368,0.282,15.013,5
1591718969.9461,0.319,0.287,13.42,5
1591718969.983,0.292,0.281,18.048,5
1591718970.0239,0.288,0.281,13.231,5
1591718970.0628,0.285,0.282,13.055,5
1591718970.1047,0.291,0.282,13.037,5
1591718970.1416,0.313,0.282,15.265,5
1591718970.1815,0.285,0.284,13.749,5
1591718970.2194,0.308,0.286,21.044,5
1591718970.2603,0.326,0.282,10.8,5
1591718970.3042,0.31,0.288,13.779,5
1591718970.3421,0.289,0.286,11.529,5
1591718970.382,0.288,0.286,8.857,5
1591718970.4239,0.285,0.286,22.348,5
1591718970.4598,0.299,0.342,9.719,5
1591718970.5017,0.285,0.314,16.281,5
1591718970.5424,0.286,0.318,16.236,5
1591718970.5783,0.287,0.881,18.653,5
1591718970.6142,0.291,0.285,16.7,5
1591718970.6511,0.543,0.287,13.953,5
1591718970.6902,0.281,0.282,12.386,5
1591718970.7251,0.653,0.284,13.428,5
1591718970.769,0.404,0.285,10.719,5
1591718970.8059,0.322,0.29,13.509,5
1591718970.8428,0.285,0.298,12.65,5
1591718970.8857,0.316,0.301,16.611,5
1591718970.9328,0.303,0.295,17.664,5
1591718970.9687,0.304,0.294,23.435,5
1591718971.0046,0.288,0.283,23.852,5
1591718971.0403,0.31,0.29,13.278,5
1591718971.0762,0.287,0.287,16.676,5
1591718971.1151,0.28,0.396,19.566,5
1591718971.157,0.314,1.655,11.687,5
1591718971.1939,0.28,0.282,17.439,5
1591718971.2377,0.284,0.282,15.952,5
1591718971.2746,0.298,0.289,12.122,5
1591718971.3128,0.282,0.309,12.882,5
1591718971.3507,0.291,0.307,23.736,5
1591718971.3876,0.473,0.297,22.664,5
1591718971.4235,0.31,0.295,15.728,5
1591718971.4624,0.519,0.307,15.886,5
1591718971.5013,0.286,0.284,10.608,5
1591718971.5412,0.325,0.282,12.534,5
1591718971.583,0.3,0.284,11.565,5
1591718971.6309,0.288,0.291,14.206,5
1591718971.6738,0.333,0.287,12.753,5
1591718971.7157,0.283,0.282,17.455,5
1591718971.7536,0.644,0.294,19.863,5
1591718971.7965,0.28,0.284,13.379,5
1591718971.8393,0.282,0.283,12.5,5
1591718971.8812,0.309,0.285,10.394,5
1591718971.9181,0.289,0.299,13.384,5
1591718971.972,0.311,0.306,12.532,5
1591718972.0138,0.329,0.289,10.362,5
1591718972.0498,0.326,0.312,18.042,5
1591718972.0867,0.281,0.297,14.159,5
1591718972.1226,0.329,0.816,9.136,5
1591718972.1599,0.281,0.389,16.527,5
1591718972.1978,0.294,0.288,18.862,5
1591718972.2327,0.286,0.285,14.251,5
1591718972.2686,0.287,0.314,17.345,5
1591718972.3125,0.281,0.293,15.832,5
1591718972.3494,0.285,0.286,17.328,5
1591718972.3933,0.281,0.319,15.238,5
1591718972.4322,0.287,0.288,21.003,5
1591718972.4741,0.691,0.288,17.294,5
1591718972.5209,0.286,0.283,10.514,5
1591718972.5658,0.303,0.285,13.844,5
1591718972.6127,0.284,0.296,25.966,5
1591718972.6526,0.285,0.285,14.474,5
1591718972.6975,0.292,0.285,26.374,5
1591718972.7514,0.287,0.289,16.526,5
1591718972.7912,0.315,0.28,13.532,5
1591718972.8361,0.31,0.283,19.675,5
1591718972.872,0.307,0.282,10.954,5
1591718972.9074,0.293,0.283,15.493,5
1591718972.9463,0.281,0.28,14.744,5
1591718972.9922,0.286,0.286,14.977,5
1591718973.0341,0.291,0.284,21.118,5
1591718973.0728,0.292,0.285,23.836,5
1591718973.1098,0.281,0.281,19.608,5
1591718973.1466,0.302,0.29,14.457,5
1591718973.1915,0.3,0.282,21.943,5
1591718973.2325,0.292,0.282,12.734,5
1591718973.2684,0.282,0.282,12.172,5
1591718973.3133,0.282,0.283,15.951,5
1591718973.3512,0.282,0.282,14.416,5
1591718973.3907,0.285,0.281,11.193,5
1591718973.4304,0.297,0.28,13.013,5
1591718973.4693,0.286,0.28,11.333,5
1591718973.5082,0.301,0.28,17.123,5
1591718973.5541,0.286,0.281,13.159,5
1591718973.592,0.285,0.283,12.286,5
1591718973.6369,0.284,0.28,9.145,5
1591718973.6738,0.283,0.292,13.615,5
1591718973.715,0.282,0.337,12.292,5
1591718973.7559,0.285,0.559,11.721,5
1591718973.8008,0.281,0.33,17.31,5
1591718973.8367,0.28,0.289,23.653,5
1591718973.8726,0.281,0.282,22.045,5
1591718973.9115,0.29,0.31,14.106,5
1591718973.9474,0.32,0.291,23.883,5
1591718973.9824,0.418,0.324,13.518,5
1591718974.0252,0.284,0.286,10.752,5
1591718974.0681,0.288,0.449,13.02,5
1591718974.103,0.282,0.291,12.222,5
1591718974.146,0.284,0.303,10.701,5
1591718974.1818,0.311,0.288,23.68,5
1591718974.2227,0.287,0.312,13.869,5
1591718974.2656,0.283,0.304,14.103,5
1591718974.3005,0.285,0.311,14.007,5
1591718974.3364,0.284,0.299,10.979,5
1591718974.3743,0.296,0.295,11.148,5
1591718974.4121,0.32,0.301,21.045,5
1591718974.4469,0.285,0.295,17.104,5
1591718974.4868,0.282,0.284,10.019,5
1591718974.5244,0.282,0.291,20.989,5
1591718974.5592,0.281,0.282,10.573,5
1591718974.602,0.284,0.287,17.197,5
1591718974.6379,0.376,0.283,15.658,5
1591718974.6744,0.312,0.306,21.852,5
1591718974.7113,0.354,0.287,14.98,5
1591718974.7472,0.293,0.287,19.194,5
1591718974.7891,0.286,0.297,11.307,5
1591718974.826,0.314,0.292,11.29,5
1591718974.8618,0.316,0.296,19.065,5
1591718974.8968,0.287,0.324,18.746,5
1591718974.9327,0.311,0.295,12.631,5
1591718974.9686,0.295,1.005,10.991,5
1591718975.0045,0.286,0.406,18.385,5
1591718975.0484,0.726,0.288,12.843,5
1591718975.0883,0.287,0.287,10.109,5
1591718975.1242,0.31,0.572,18.308,5
1591718975.1631,0.283,0.293,8.561,5
1591718975.204,0.284,0.341,13.943,5
1591718975.2399,0.28,0.29,8.999,5
1591718975.2828,0.301,0.294,23.899,5
1591718975.3227,0.281,0.291,11.577,5
1591718975.3575,0.287,0.287,31.368,5
1591718975.3974,0.287,0.289,13.458,5
1591718975.4345,0.309,0.289,25.434,5
1591718975.4694,0.406,0.324,11.905,5
1591718975.5063,1.05,0.289,16.306,5
1591718975.5472,0.294,0.283,10.836,5
1591718975.5821,0.282,0.39,13.599,5
1591718975.619,0.28,0.316,11.738,5
1591718975.6549,0.282,0.383,13.083,5
1591718975.6898,0.373,0.288,23.321,5
1591718975.7267,0.281,0.281,9.653,5
1591718975.7646,0.787,0.285,14.644,5
1591718975.7995,0.342,0.285,14.718,5
1591718975.8354,0.288,0.286,23.392,5
1591718975.8743,0.307,0.288,14.375,5
1591718975.9162,0.304,0.286,18.584,5
1591718975.9521,0.286,0.287,13.754,5
1591718975.987,0.342,0.283,13.794,5
1591718976.0219,0.3,0.284,20.365,5
1591718976.0598,0.322,0.299,21.602,5
1591718976.1027,0.288,0.285,20.226,5
1591718976.1386,0.331,0.281,17.503,5
1591718976.1805,0.301,0.284,14.826,5
1591718976.2204,0.343,0.282,25.937,5
1591718976.2563,0.31,0.283,14.288,5
1591718976.2952,0.334,0.28,26.159,5
1591718976.3311,0.306,0.282,14.11,5
1591718976.366,0.313,0.281,14.457,5
1591718976.4099,0.32,0.283,11.41,5
1591718976.4458,0.336,0.285,17.086,5
1591718976.4807,0.315,0.282,17.125,5
1591718976.5177,0.327,0.283,17.236,5
1591718976.5537,0.305,0.28,15.699,5
1591718976.5956,0.281,0.284,13.697,5
1591718976.6335,0.284,0.282,11.434,5
1591718976.6704,0.289,0.283,10.957,5
1591718976.7093,0.295,0.282,20.737,5
1591718976.7542,0.285,0.282,10.918,5
1591718976.795,0.287,0.281,13.901,5
1591718976.831,0.281,0.291,11.709,5
1591718976.8749,0.28,0.282,11.565,5
1591718976.9227,0.29,0.284,12.655,5
1591718976.9586,0.287,0.283,13.727,5
1591718976.9955,0.28,0.541,18.538,5
1591718977.0314,0.285,0.429,15.094,5
1591718977.0704,0.283,0.477,12.297,5
1591718977.1159,0.318,0.302,12.36,5
1591718977.1518,0.386,0.286,15.44,5
1591718977.1867,0.325,0.536,9.353,5
1591718977.2236,0.315,0.329,11.247,5
1591718977.261,0.324,0.292,15.349,5
1591718977.3009,0.367,0.307,19.583,5
1591718977.3409,0.458,0.313,10.674,5
1591718977.3784,0.311,0.295,11.564,5
1591718977.4193,0.287,0.296,12.768,5
1591718977.4631,0.559,0.388,14.43,5
1591718977.5051,0.364,0.317,11.196,5
1591718977.5409,0.347,0.285,23.945,5
1591718977.5788,0.297,0.314,18.073,5
1591718977.6247,0.296,0.325,13.699,5
1591718977.6686,0.324,0.312,13.048,5
1591718977.7115,0.284,0.315,15.594,5
1591718977.7484,0.288,0.287,19.139,5
1591718977.7863,0.287,0.295,16.311,5
1591718977.8331,0.288,0.295,13.958,5
1591718977.8701,0.295,0.289,13.217,5
1591718977.906,0.317,0.284,19.934,5
1591718977.9499,0.291,0.282,13.413,5
1591718977.9917,0.31,0.285,14.207,5
1591718978.0306,0.305,0.284,22.376,5
1591718978.0675,0.304,0.384,13.377,5
1591718978.1024,0.299,0.286,9.948,5
1591718978.1383,0.315,0.281,12.331,5
1591718978.1752,0.31,0.746,20.733,5
1591718978.2111,0.281,0.476,12.662,5
1591718978.252,0.291,0.282,18.766,5
1591718978.288,0.3,0.281,18.148,5
1591718978.3239,0.31,0.282,10.881,5
1591718978.3647,0.325,0.285,13.032,5
1591718978.4027,0.28,0.289,12.899,5
1591718978.4375,0.289,0.288,13.463,5
1591718978.4784,0.282,0.293,13.119,5
1591718978.5203,0.292,0.298,12.599,5
1591718978.5562,0.299,0.289,11.829,5
1591718978.5971,0.285,0.384,22.059,5
1591718978.636,0.28,0.287,12.027,5
1591718978.6719,0.282,0.309,14.502,5
1591718978.7128,0.282,0.626,10.947,5
1591718978.7497,0.386,0.298,13.25,5
1591718978.7846,0.286,0.292,11.628,5
1591718978.8255,0.376,0.29,13.187,5
1591718978.8614,0.348,0.296,15.167,5
1591718978.9023,0.346,0.293,20.754,5
1591718978.9402,0.441,0.29,12.838,5
1591718978.9791,0.376,0.287,11.371,5
1591718979.02,0.305,0.29,15.319,5
1591718979.0549,0.281,0.282,15.703,5
1591718979.0998,0.629,0.282,11.538,5
1591718979.1406,0.285,0.284,14.485,5
1591718979.1826,0.287,0.282,11.663,5
1591718979.2266,0.319,0.28,10.688,5
1591718979.2635,0.299,0.279,17.582,5
1591718979.3031,0.323,0.283,12.327,5
1591718979.3459,0.327,0.289,11.376,5
1591718979.3808,0.34,0.285,17.967,5
1591718979.4158,0.309,0.288,15.374,5
1591718979.4527,0.326,0.323,21.885,5
1591718979.4877,0.314,0.289,10.514,5
1591718979.5226,0.313,0.29,14.724,5
1591718979.5675,0.306,0.289,15.79,5
1591718979.6034,0.318,0.281,11.281,5
1591718979.6383,0.289,0.325,12.112,5
1591718979.6752,0.288,0.385,12.484,5
1591718979.7111,0.296,0.289,8.868,5
1591718979.746,0.289,0.306,25.08,5
1591718979.7819,0.318,0.319,14.226,5
1591718979.8178,0.352,0.31,14.522,5
1591718979.8527,0.281,0.289,14.037,5
1591718979.8896,0.294,0.301,20.741,5
1591718979.9265,0.289,0.299,15.389,5
1591718979.9614,0.281,0.298,23.504,5
1591718980.0053,0.286,0.301,21.62,5
1591718980.0422,0.29,0.295,14.35,5
1591718980.0771,0.28,0.287,13.022,5
1591718980.1132,0.311,0.287,12.331,5
1591718980.1541,0.289,0.299,31.099,5
1591718980.1899,0.328,0.298,20.768,5
1591718980.2317,0.29,0.29,10.362,5
1591718980.2677,0.282,0.365,18.142,5
1591718980.3025,0.288,0.343,13.996,5
1591718980.3415,0.282,0.42,13.648,5
1591718980.3763,0.299,0.297,15.308,5
1591718980.4172,0.299,0.573,19.029,5
1591718980.4542,0.286,0.585,17.329,5
1591718980.4921,0.291,0.319,15.016,5
1591718980.5349,0.309,0.397,11.654,5
1591718980.5788,0.427,0.314,20.878,5
1591718980.6147,0.296,0.293,13.608,5
1591718980.6496,0.413,0.289,11.383,5
1591718980.6935,0.312,0.29,18.783,5
1591718980.7294,0.696,0.285,15.441,5
1591718980.9238,0.303,0.334,13.737,6
1591718980.9637,0.281,0.311,32.481,6
1591718981.0017,0.294,0.336,13.201,6
1591718981.0366,0.666,0.329,15.358,6
1591718981.0735,0.288,0.323,17.237,6
1591718981.1104,0.285,0.317,17.657,6
1591718981.1463,0.429,0.306,15.305,6
1591718981.1812,0.309,0.311,15.866,6
1591718981.2291,0.314,0.293,9.422,6
1591718981.2656,0.292,0.285,16.112,6
1591718981.3005,0.321,0.282,11.409,6
1591718981.3424,0.289,0.288,16.662,6
1591718981.3793,0.329,0.319,10.877,6
