time, dskOnReal, dskOnFake, epoch
1590657585.6729, 0.427, 0.536, 0
1590657585.6993, 0.42, 0.5261, 0
1590657585.7232, 0.402, 0.5171, 0
1590657585.7492, 0.403, 0.5077, 0
1590657585.7751, 0.394, 0.5009, 0
1590657585.8003, 0.394, 0.4897, 0
1590657585.8252, 0.389, 0.4836, 0
1590657585.8482, 0.395, 0.4827, 0
1590657585.8731, 0.388, 0.4752, 0
1590657585.8983, 0.387, 0.4788, 0
1590657585.9232, 0.402, 0.4769, 0
1590657585.9461, 0.388, 0.4762, 0
1590657585.9701, 0.398, 0.4811, 0
1590657586.0005, 0.407, 0.4855, 0
1590657586.0245, 0.413, 0.4912, 0
1590657586.0484, 0.423, 0.4927, 0
1590657586.0763, 0.427, 0.504, 0
1590657586.0998, 0.458, 0.5092, 0
1590657586.1237, 0.449, 0.5173, 0
1590657586.1487, 0.474, 0.5271, 0
1590657586.1746, 0.479, 0.5257, 0
1590657586.1995, 0.492, 0.5431, 0
1590657586.2255, 0.504, 0.5423, 0
1590657586.2514, 0.502, 0.5497, 0
1590657586.2753, 0.523, 0.5496, 0
1590657586.2992, 0.535, 0.557, 0
1590657586.3222, 0.54, 0.5525, 0
1590657586.3482, 0.548, 0.5555, 0
1590657586.376, 0.547, 0.5545, 0
1590657586.404, 0.556, 0.5551, 0
1590657586.4279, 0.566, 0.5516, 0
1590657586.4528, 0.571, 0.5513, 0
1590657586.4798, 0.582, 0.5523, 0
1590657586.5037, 0.574, 0.5544, 0
1590657586.5277, 0.587, 0.5546, 0
1590657586.5536, 0.596, 0.5671, 0
1590657586.5775, 0.61, 0.5653, 0
1590657586.6034, 0.613, 0.5703, 0
1590657586.6284, 0.628, 0.5671, 0
1590657586.6543, 0.628, 0.5673, 0
1590657586.6823, 0.638, 0.5753, 0
1590657586.7052, 0.636, 0.591, 0
1590657586.7311, 0.638, 0.6148, 0
1590657586.76, 0.641, 0.6682, 0
1590657586.784, 0.636, 0.7191, 0
