model, time, acc, loss, tacc, tloss
model-Wed May 20 20:40:38 2020, 1589987446.118, 0.58, 0.2362, 0.56, 0.2434
model-Wed May 20 20:40:38 2020, 1589987446.18, 0.66, 0.2276, 0.51, 0.2494
model-Wed May 20 20:40:38 2020, 1589987446.245, 0.53, 0.2493, 0.52, 0.2483
model-Wed May 20 20:40:38 2020, 1589987446.309, 0.61, 0.2378, 0.64, 0.2345
model-Wed May 20 20:40:38 2020, 1589987446.373, 0.69, 0.2219, 0.61, 0.2294
model-Wed May 20 20:40:38 2020, 1589987446.436, 0.54, 0.2496, 0.61, 0.2259
model-Wed May 20 20:40:38 2020, 1589987446.502, 0.59, 0.2402, 0.54, 0.2431
model-Wed May 20 20:40:38 2020, 1589987446.565, 0.6, 0.2428, 0.62, 0.2395
model-Wed May 20 20:40:38 2020, 1589987446.63, 0.64, 0.2287, 0.6, 0.2261
model-Wed May 20 20:40:38 2020, 1589987446.694, 0.6, 0.2405, 0.64, 0.2336
model-Wed May 20 20:40:38 2020, 1589987446.758, 0.6, 0.2406, 0.55, 0.2519
model-Wed May 20 20:40:38 2020, 1589987446.824, 0.58, 0.2397, 0.49, 0.2685
model-Wed May 20 20:40:38 2020, 1589987446.889, 0.5, 0.2656, 0.51, 0.26
model-Wed May 20 20:40:38 2020, 1589987446.952, 0.54, 0.2564, 0.5, 0.2577
model-Wed May 20 20:40:38 2020, 1589987447.016, 0.6, 0.2318, 0.55, 0.2464
model-Wed May 20 20:40:38 2020, 1589987447.08, 0.56, 0.2398, 0.56, 0.2525
model-Wed May 20 20:40:38 2020, 1589987447.144, 0.57, 0.2426, 0.62, 0.2465
model-Wed May 20 20:40:38 2020, 1589987447.208, 0.54, 0.2468, 0.58, 0.2553
model-Wed May 20 20:40:38 2020, 1589987447.273, 0.64, 0.2452, 0.59, 0.2453
model-Wed May 20 20:40:38 2020, 1589987447.335, 0.52, 0.2623, 0.55, 0.248
model-Wed May 20 20:40:38 2020, 1589987447.399, 0.51, 0.2655, 0.59, 0.2509
model-Wed May 20 20:40:38 2020, 1589987447.463, 0.52, 0.2359, 0.6, 0.2386
model-Wed May 20 20:40:38 2020, 1589987447.528, 0.52, 0.2482, 0.42, 0.2531
model-Wed May 20 20:40:38 2020, 1589987447.591, 0.44, 0.2488, 0.6, 0.2446
model-Wed May 20 20:40:38 2020, 1589987447.656, 0.49, 0.2451, 0.6, 0.2425
model-Wed May 20 20:40:38 2020, 1589987447.721, 0.53, 0.25, 0.54, 0.248
model-Wed May 20 20:40:38 2020, 1589987447.785, 0.52, 0.2467, 0.62, 0.246
model-Wed May 20 20:40:38 2020, 1589987447.853, 0.57, 0.2487, 0.5, 0.2498
model-Wed May 20 20:40:38 2020, 1589987447.919, 0.49, 0.2478, 0.56, 0.248
model-Wed May 20 20:40:38 2020, 1589987447.985, 0.56, 0.247, 0.59, 0.2442
model-Wed May 20 20:40:38 2020, 1589987448.051, 0.56, 0.2463, 0.64, 0.2441
model-Wed May 20 20:40:38 2020, 1589987448.124, 0.55, 0.2475, 0.52, 0.2486
model-Wed May 20 20:40:38 2020, 1589987448.2, 0.58, 0.2466, 0.48, 0.2495
model-Wed May 20 20:40:38 2020, 1589987448.265, 0.45, 0.2513, 0.57, 0.2456
model-Wed May 20 20:40:38 2020, 1589987448.329, 0.54, 0.2481, 0.61, 0.2428
model-Wed May 20 20:40:38 2020, 1589987448.393, 0.6, 0.2423, 0.54, 0.2459
model-Wed May 20 20:40:38 2020, 1589987448.468, 0.56, 0.2457, 0.59, 0.2406
model-Wed May 20 20:40:38 2020, 1589987448.531, 0.55, 0.2458, 0.65, 0.2425
model-Wed May 20 20:40:38 2020, 1589987448.596, 0.57, 0.2398, 0.53, 0.2445
model-Wed May 20 20:40:38 2020, 1589987448.66, 0.51, 0.246, 0.64, 0.2416
model-Wed May 20 20:40:38 2020, 1589987448.727, 0.63, 0.2422, 0.65, 0.2399
model-Wed May 20 20:40:38 2020, 1589987448.791, 0.47, 0.2511, 0.62, 0.2403
model-Wed May 20 20:40:38 2020, 1589987448.872, 0.63, 0.2431, 0.58, 0.2449
model-Wed May 20 20:40:38 2020, 1589987448.936, 0.62, 0.2385, 0.61, 0.235
model-Wed May 20 20:40:38 2020, 1589987449.003, 0.51, 0.2527, 0.62, 0.248
model-Wed May 20 20:40:38 2020, 1589987449.067, 0.47, 0.2547, 0.61, 0.2445
model-Wed May 20 20:40:38 2020, 1589987449.132, 0.62, 0.2441, 0.56, 0.254
model-Wed May 20 20:40:38 2020, 1589987449.194, 0.57, 0.2506, 0.62, 0.2427
model-Wed May 20 20:40:38 2020, 1589987449.259, 0.63, 0.2404, 0.54, 0.2432
model-Wed May 20 20:40:38 2020, 1589987449.322, 0.52, 0.2504, 0.56, 0.2476
model-Wed May 20 20:40:38 2020, 1589987449.387, 0.56, 0.2443, 0.6, 0.2344
model-Wed May 20 20:40:38 2020, 1589987449.45, 0.58, 0.2371, 0.53, 0.2465
model-Wed May 20 20:40:38 2020, 1589987449.514, 0.58, 0.2412, 0.52, 0.25
model-Wed May 20 20:40:38 2020, 1589987449.576, 0.51, 0.2446, 0.62, 0.2326
model-Wed May 20 20:40:38 2020, 1589987449.642, 0.57, 0.2371, 0.56, 0.237
model-Wed May 20 20:40:38 2020, 1589987449.705, 0.57, 0.242, 0.6, 0.2366
model-Wed May 20 20:40:38 2020, 1589987449.769, 0.58, 0.2318, 0.59, 0.2431
model-Wed May 20 20:40:38 2020, 1589987449.833, 0.55, 0.2455, 0.53, 0.242
model-Wed May 20 20:40:38 2020, 1589987449.9, 0.58, 0.2369, 0.63, 0.2304
model-Wed May 20 20:40:38 2020, 1589987449.962, 0.55, 0.2425, 0.56, 0.238
model-Wed May 20 20:40:38 2020, 1589987450.027, 0.49, 0.2503, 0.54, 0.2436
model-Wed May 20 20:40:38 2020, 1589987450.09, 0.6, 0.2338, 0.62, 0.2375
model-Wed May 20 20:40:38 2020, 1589987450.155, 0.48, 0.2621, 0.63, 0.2395
model-Wed May 20 20:40:38 2020, 1589987450.218, 0.56, 0.2454, 0.57, 0.2401
model-Wed May 20 20:40:38 2020, 1589987450.283, 0.62, 0.2377, 0.62, 0.2403
model-Wed May 20 20:40:38 2020, 1589987450.345, 0.55, 0.2461, 0.51, 0.2514
model-Wed May 20 20:40:38 2020, 1589987450.41, 0.49, 0.2552, 0.54, 0.2463
model-Wed May 20 20:40:38 2020, 1589987450.473, 0.66, 0.2288, 0.5, 0.2538
model-Wed May 20 20:40:38 2020, 1589987450.538, 0.68, 0.217, 0.61, 0.2357
model-Wed May 20 20:40:38 2020, 1589987450.601, 0.5, 0.2664, 0.56, 0.2448
model-Wed May 20 20:40:38 2020, 1589987450.665, 0.63, 0.2435, 0.63, 0.2303
model-Wed May 20 20:40:38 2020, 1589987450.728, 0.62, 0.2247, 0.61, 0.2328
model-Wed May 20 20:40:38 2020, 1589987450.793, 0.55, 0.2372, 0.6, 0.2379
model-Wed May 20 20:40:38 2020, 1589987450.866, 0.54, 0.2433, 0.57, 0.2338
model-Wed May 20 20:40:38 2020, 1589987450.935, 0.61, 0.2371, 0.62, 0.2305
model-Wed May 20 20:40:38 2020, 1589987450.999, 0.58, 0.2392, 0.58, 0.2396
model-Wed May 20 20:40:38 2020, 1589987451.062, 0.57, 0.2298, 0.53, 0.2377
model-Wed May 20 20:40:38 2020, 1589987451.136, 0.66, 0.229, 0.63, 0.2265
model-Wed May 20 20:40:38 2020, 1589987451.202, 0.59, 0.2338, 0.6, 0.2342
model-Wed May 20 20:40:38 2020, 1589987451.265, 0.57, 0.2493, 0.67, 0.2282
model-Wed May 20 20:40:38 2020, 1589987451.329, 0.58, 0.2486, 0.53, 0.2525
