model, time, acc, loss, tacc, tloss
model-Wed May 20 20:40:38 2020, 1589987477.479, 0.71, 0.2355, 0.65, 0.2161
model-Wed May 20 20:40:38 2020, 1589987477.543, 0.71, 0.18, 0.76, 0.1823
model-Wed May 20 20:40:38 2020, 1589987477.604, 0.68, 0.2044, 0.7, 0.1944
model-Wed May 20 20:40:38 2020, 1589987477.668, 0.77, 0.1588, 0.76, 0.1677
model-Wed May 20 20:40:38 2020, 1589987477.731, 0.81, 0.158, 0.73, 0.1886
model-Wed May 20 20:40:38 2020, 1589987477.795, 0.77, 0.1581, 0.68, 0.2107
model-Wed May 20 20:40:38 2020, 1589987477.858, 0.75, 0.1617, 0.71, 0.2037
model-Wed May 20 20:40:38 2020, 1589987477.922, 0.74, 0.1834, 0.71, 0.1845
model-Wed May 20 20:40:38 2020, 1589987477.983, 0.72, 0.179, 0.65, 0.1976
model-Wed May 20 20:40:38 2020, 1589987478.047, 0.75, 0.1902, 0.65, 0.2072
model-Wed May 20 20:40:38 2020, 1589987478.111, 0.7, 0.2008, 0.7, 0.197
model-Wed May 20 20:40:38 2020, 1589987478.176, 0.65, 0.2207, 0.74, 0.1805
model-Wed May 20 20:40:38 2020, 1589987478.238, 0.78, 0.1576, 0.77, 0.1742
model-Wed May 20 20:40:38 2020, 1589987478.302, 0.78, 0.1619, 0.66, 0.2063
model-Wed May 20 20:40:38 2020, 1589987478.364, 0.68, 0.1945, 0.73, 0.1942
model-Wed May 20 20:40:38 2020, 1589987478.428, 0.7, 0.1858, 0.76, 0.1858
model-Wed May 20 20:40:38 2020, 1589987478.49, 0.69, 0.1929, 0.7, 0.1878
model-Wed May 20 20:40:38 2020, 1589987478.564, 0.69, 0.1953, 0.66, 0.2117
model-Wed May 20 20:40:38 2020, 1589987478.626, 0.75, 0.1746, 0.65, 0.2227
model-Wed May 20 20:40:38 2020, 1589987478.69, 0.69, 0.1921, 0.67, 0.2143
model-Wed May 20 20:40:38 2020, 1589987478.752, 0.71, 0.1819, 0.69, 0.1738
model-Wed May 20 20:40:38 2020, 1589987478.815, 0.76, 0.1767, 0.71, 0.1953
model-Wed May 20 20:40:38 2020, 1589987478.878, 0.66, 0.2087, 0.71, 0.1947
model-Wed May 20 20:40:38 2020, 1589987478.942, 0.69, 0.2054, 0.74, 0.1828
model-Wed May 20 20:40:38 2020, 1589987479.005, 0.7, 0.2003, 0.76, 0.1708
model-Wed May 20 20:40:38 2020, 1589987479.068, 0.76, 0.1706, 0.72, 0.1891
model-Wed May 20 20:40:38 2020, 1589987479.13, 0.66, 0.2011, 0.76, 0.1641
model-Wed May 20 20:40:38 2020, 1589987479.194, 0.71, 0.1855, 0.75, 0.1817
model-Wed May 20 20:40:38 2020, 1589987479.257, 0.72, 0.1775, 0.74, 0.1765
model-Wed May 20 20:40:38 2020, 1589987479.32, 0.62, 0.2194, 0.69, 0.1949
model-Wed May 20 20:40:38 2020, 1589987479.383, 0.72, 0.1975, 0.67, 0.1946
model-Wed May 20 20:40:38 2020, 1589987479.447, 0.7, 0.2108, 0.79, 0.1744
model-Wed May 20 20:40:38 2020, 1589987479.508, 0.75, 0.1698, 0.81, 0.1594
model-Wed May 20 20:40:38 2020, 1589987479.572, 0.71, 0.185, 0.77, 0.1628
model-Wed May 20 20:40:38 2020, 1589987479.635, 0.77, 0.1579, 0.78, 0.1465
model-Wed May 20 20:40:38 2020, 1589987479.699, 0.74, 0.1822, 0.78, 0.1802
model-Wed May 20 20:40:38 2020, 1589987479.762, 0.75, 0.179, 0.69, 0.1812
model-Wed May 20 20:40:38 2020, 1589987479.825, 0.75, 0.1624, 0.74, 0.1729
model-Wed May 20 20:40:38 2020, 1589987479.887, 0.83, 0.1421, 0.74, 0.1684
model-Wed May 20 20:40:38 2020, 1589987479.951, 0.74, 0.1657, 0.78, 0.1588
model-Wed May 20 20:40:38 2020, 1589987480.013, 0.75, 0.1569, 0.73, 0.1861
model-Wed May 20 20:40:38 2020, 1589987480.088, 0.74, 0.184, 0.69, 0.1972
model-Wed May 20 20:40:38 2020, 1589987480.151, 0.74, 0.1657, 0.81, 0.1465
model-Wed May 20 20:40:38 2020, 1589987480.214, 0.75, 0.1726, 0.68, 0.2006
model-Wed May 20 20:40:38 2020, 1589987480.277, 0.76, 0.1565, 0.66, 0.2278
model-Wed May 20 20:40:38 2020, 1589987480.341, 0.7, 0.1895, 0.64, 0.2223
model-Wed May 20 20:40:38 2020, 1589987480.403, 0.58, 0.2643, 0.75, 0.1661
model-Wed May 20 20:40:38 2020, 1589987480.467, 0.8, 0.1581, 0.74, 0.1678
model-Wed May 20 20:40:38 2020, 1589987480.529, 0.71, 0.1867, 0.56, 0.2507
model-Wed May 20 20:40:38 2020, 1589987480.593, 0.69, 0.2063, 0.72, 0.2134
model-Wed May 20 20:40:38 2020, 1589987480.655, 0.65, 0.2288, 0.73, 0.1771
model-Wed May 20 20:40:38 2020, 1589987480.719, 0.73, 0.1778, 0.73, 0.1727
model-Wed May 20 20:40:38 2020, 1589987480.783, 0.66, 0.2011, 0.68, 0.1992
model-Wed May 20 20:40:38 2020, 1589987480.847, 0.69, 0.1939, 0.75, 0.1812
model-Wed May 20 20:40:38 2020, 1589987480.909, 0.75, 0.1743, 0.72, 0.1884
model-Wed May 20 20:40:38 2020, 1589987480.973, 0.82, 0.1478, 0.73, 0.1844
model-Wed May 20 20:40:38 2020, 1589987481.035, 0.7, 0.1883, 0.78, 0.1614
model-Wed May 20 20:40:38 2020, 1589987481.099, 0.76, 0.1886, 0.76, 0.1697
model-Wed May 20 20:40:38 2020, 1589987481.162, 0.65, 0.1928, 0.74, 0.1842
model-Wed May 20 20:40:38 2020, 1589987481.227, 0.75, 0.1934, 0.75, 0.1747
model-Wed May 20 20:40:38 2020, 1589987481.298, 0.72, 0.177, 0.72, 0.1863
model-Wed May 20 20:40:38 2020, 1589987481.373, 0.77, 0.1682, 0.71, 0.1876
model-Wed May 20 20:40:38 2020, 1589987481.435, 0.8, 0.1535, 0.7, 0.1853
model-Wed May 20 20:40:38 2020, 1589987481.509, 0.74, 0.1745, 0.68, 0.198
model-Wed May 20 20:40:38 2020, 1589987481.581, 0.77, 0.1707, 0.74, 0.1826
model-Wed May 20 20:40:38 2020, 1589987481.645, 0.69, 0.1763, 0.71, 0.1943
model-Wed May 20 20:40:38 2020, 1589987481.708, 0.74, 0.1701, 0.75, 0.1646
model-Wed May 20 20:40:38 2020, 1589987481.771, 0.77, 0.178, 0.81, 0.1521
model-Wed May 20 20:40:38 2020, 1589987481.844, 0.71, 0.1806, 0.69, 0.189
model-Wed May 20 20:40:38 2020, 1589987481.909, 0.73, 0.1964, 0.73, 0.1855
model-Wed May 20 20:40:38 2020, 1589987481.971, 0.71, 0.178, 0.68, 0.1838
model-Wed May 20 20:40:38 2020, 1589987482.044, 0.82, 0.1509, 0.73, 0.1517
model-Wed May 20 20:40:38 2020, 1589987482.107, 0.8, 0.1467, 0.72, 0.1874
model-Wed May 20 20:40:38 2020, 1589987482.171, 0.73, 0.1693, 0.68, 0.1958
model-Wed May 20 20:40:38 2020, 1589987482.243, 0.75, 0.1788, 0.71, 0.1704
model-Wed May 20 20:40:38 2020, 1589987482.307, 0.77, 0.1619, 0.78, 0.1565
model-Wed May 20 20:40:38 2020, 1589987482.369, 0.79, 0.1578, 0.71, 0.1887
model-Wed May 20 20:40:38 2020, 1589987482.432, 0.73, 0.1771, 0.7, 0.2035
model-Wed May 20 20:40:38 2020, 1589987482.494, 0.7, 0.1783, 0.74, 0.1709
model-Wed May 20 20:40:38 2020, 1589987482.559, 0.83, 0.144, 0.81, 0.1521
model-Wed May 20 20:40:38 2020, 1589987482.621, 0.76, 0.1571, 0.77, 0.1631
model-Wed May 20 20:40:38 2020, 1589987482.686, 0.78, 0.147, 0.7, 0.1996
model-Wed May 20 20:40:38 2020, 1589987482.758, 0.75, 0.1607, 0.78, 0.1496
model-Wed May 20 20:40:38 2020, 1589987482.821, 0.69, 0.2086, 0.75, 0.1638
model-Wed May 20 20:40:38 2020, 1589987482.884, 0.62, 0.2237, 0.76, 0.1796
model-Wed May 20 20:40:38 2020, 1589987482.948, 0.77, 0.1568, 0.72, 0.1784
model-Wed May 20 20:40:38 2020, 1589987483.01, 0.79, 0.1498, 0.75, 0.1778
model-Wed May 20 20:40:38 2020, 1589987483.075, 0.79, 0.1671, 0.72, 0.1899
model-Wed May 20 20:40:38 2020, 1589987483.137, 0.76, 0.1583, 0.64, 0.2275
model-Wed May 20 20:40:38 2020, 1589987483.2, 0.66, 0.2049, 0.76, 0.174
model-Wed May 20 20:40:38 2020, 1589987483.262, 0.8, 0.1576, 0.75, 0.1808
model-Wed May 20 20:40:38 2020, 1589987483.309, 0.83, 0.0989, 0.69, 0.1953
model, time, acc, loss, tacc, tloss
model-Wed May 20 21:26:58 2020, 1589990218.703, 0.45, 0.2509, 0.54, 0.2485, 0
model-Wed May 20 21:26:58 2020, 1589990218.784, 0.54, 0.2493, 0.46, 0.2509, 0
model-Wed May 20 21:26:58 2020, 1589990218.852, 0.47, 0.2506, 0.46, 0.265, 0
model-Wed May 20 21:26:58 2020, 1589990218.92, 0.49, 0.2563, 0.51, 0.2491, 0
model-Wed May 20 21:26:58 2020, 1589990218.985, 0.48, 0.2512, 0.45, 0.2516, 0
model-Wed May 20 21:26:58 2020, 1589990219.053, 0.53, 0.2493, 0.44, 0.255, 0
model-Wed May 20 21:26:58 2020, 1589990219.118, 0.56, 0.2479, 0.5, 0.252, 0
model-Wed May 20 21:26:58 2020, 1589990219.186, 0.49, 0.2533, 0.43, 0.2559, 0
model-Wed May 20 21:26:58 2020, 1589990219.252, 0.47, 0.2533, 0.48, 0.2509, 0
model-Wed May 20 21:26:58 2020, 1589990219.33, 0.46, 0.2522, 0.46, 0.2511, 0
model-Wed May 20 21:26:58 2020, 1589990219.395, 0.48, 0.2506, 0.52, 0.2495, 0
model-Wed May 20 21:26:58 2020, 1589990219.46, 0.49, 0.2503, 0.5, 0.2499, 0
model-Wed May 20 21:26:58 2020, 1589990219.525, 0.58, 0.2489, 0.5, 0.2498, 0
model-Wed May 20 21:26:58 2020, 1589990219.592, 0.46, 0.2505, 0.48, 0.2503, 0
model-Wed May 20 21:26:58 2020, 1589990219.659, 0.59, 0.2485, 0.5, 0.2495, 0
model-Wed May 20 21:26:58 2020, 1589990219.738, 0.55, 0.2491, 0.5, 0.2496, 0
model-Wed May 20 21:26:58 2020, 1589990219.806, 0.43, 0.2512, 0.43, 0.2514, 0
model-Wed May 20 21:26:58 2020, 1589990219.874, 0.52, 0.2495, 0.5, 0.2495, 0
model-Wed May 20 21:26:58 2020, 1589990219.94, 0.44, 0.2504, 0.53, 0.2491, 0
model-Wed May 20 21:26:58 2020, 1589990220.01, 0.47, 0.2495, 0.46, 0.25, 0
model-Wed May 20 21:26:58 2020, 1589990220.075, 0.45, 0.249, 0.53, 0.248, 0
model-Wed May 20 21:26:58 2020, 1589990220.142, 0.62, 0.2477, 0.52, 0.2501, 0
model-Wed May 20 21:26:58 2020, 1589990220.208, 0.55, 0.2497, 0.5, 0.25, 0
model-Wed May 20 21:26:58 2020, 1589990220.275, 0.46, 0.2518, 0.47, 0.2492, 0
model-Wed May 20 21:26:58 2020, 1589990220.34, 0.53, 0.2486, 0.56, 0.2455, 0
model-Wed May 20 21:26:58 2020, 1589990220.409, 0.52, 0.2477, 0.49, 0.2496, 0
model-Wed May 20 21:26:58 2020, 1589990220.474, 0.56, 0.248, 0.46, 0.2535, 0
model-Wed May 20 21:26:58 2020, 1589990220.553, 0.65, 0.244, 0.58, 0.2455, 0
model-Wed May 20 21:26:58 2020, 1589990220.618, 0.51, 0.2486, 0.6, 0.2433, 0
model-Wed May 20 21:26:58 2020, 1589990220.694, 0.45, 0.2548, 0.55, 0.2466, 0
model-Wed May 20 21:26:58 2020, 1589990220.759, 0.56, 0.2481, 0.55, 0.2464, 0
model-Wed May 20 21:26:58 2020, 1589990220.826, 0.58, 0.2441, 0.53, 0.249, 0
model-Wed May 20 21:26:58 2020, 1589990220.892, 0.56, 0.2448, 0.58, 0.2426, 0
model-Wed May 20 21:26:58 2020, 1589990220.96, 0.53, 0.2453, 0.58, 0.2414, 0
model-Wed May 20 21:26:58 2020, 1589990221.026, 0.55, 0.246, 0.5, 0.2491, 0
model-Wed May 20 21:26:58 2020, 1589990221.095, 0.5, 0.266, 0.47, 0.2547, 0
model-Wed May 20 21:26:58 2020, 1589990221.161, 0.5, 0.2503, 0.5, 0.2504, 0
model-Wed May 20 21:26:58 2020, 1589990221.227, 0.59, 0.2441, 0.59, 0.2476, 0
model-Wed May 20 21:26:58 2020, 1589990221.292, 0.47, 0.2507, 0.51, 0.2465, 0
model-Wed May 20 21:26:58 2020, 1589990221.358, 0.5, 0.2421, 0.53, 0.2499, 0
model-Wed May 20 21:26:58 2020, 1589990221.422, 0.48, 0.2484, 0.5, 0.2443, 0
model-Wed May 20 21:26:58 2020, 1589990221.489, 0.58, 0.2399, 0.42, 0.2535, 0
model-Wed May 20 21:26:58 2020, 1589990221.554, 0.42, 0.2592, 0.53, 0.2491, 0
model-Wed May 20 21:26:58 2020, 1589990221.633, 0.45, 0.2509, 0.62, 0.2488, 0
model-Wed May 20 21:26:58 2020, 1589990221.699, 0.49, 0.2512, 0.56, 0.2435, 0
model-Wed May 20 21:26:58 2020, 1589990221.765, 0.54, 0.2455, 0.55, 0.2505, 0
model-Wed May 20 21:26:58 2020, 1589990221.83, 0.52, 0.2456, 0.54, 0.2467, 0
model-Wed May 20 21:26:58 2020, 1589990221.897, 0.64, 0.2407, 0.48, 0.2516, 0
model-Wed May 20 21:26:58 2020, 1589990221.972, 0.55, 0.2475, 0.49, 0.2513, 0
model-Wed May 20 21:26:58 2020, 1589990222.04, 0.58, 0.2443, 0.58, 0.2414, 0
model-Wed May 20 21:26:58 2020, 1589990222.104, 0.51, 0.248, 0.5, 0.2528, 0
model-Wed May 20 21:26:58 2020, 1589990222.169, 0.61, 0.2426, 0.45, 0.2557, 0
model-Wed May 20 21:26:58 2020, 1589990222.232, 0.55, 0.2447, 0.59, 0.2414, 0
model-Wed May 20 21:26:58 2020, 1589990222.297, 0.49, 0.2506, 0.55, 0.2435, 0
model-Wed May 20 21:26:58 2020, 1589990222.361, 0.63, 0.2369, 0.57, 0.2427, 0
model-Wed May 20 21:26:58 2020, 1589990222.425, 0.56, 0.244, 0.51, 0.2498, 0
model-Wed May 20 21:26:58 2020, 1589990222.499, 0.52, 0.2504, 0.46, 0.2483, 0
model-Wed May 20 21:26:58 2020, 1589990222.564, 0.44, 0.2603, 0.59, 0.2378, 0
model-Wed May 20 21:26:58 2020, 1589990222.627, 0.57, 0.2519, 0.49, 0.2478, 0
model-Wed May 20 21:26:58 2020, 1589990222.692, 0.59, 0.2423, 0.49, 0.2465, 0
model-Wed May 20 21:26:58 2020, 1589990222.755, 0.5, 0.251, 0.56, 0.2493, 0
model-Wed May 20 21:26:58 2020, 1589990222.819, 0.48, 0.2481, 0.59, 0.246, 0
model-Wed May 20 21:26:58 2020, 1589990222.882, 0.64, 0.2391, 0.67, 0.25, 0
model-Wed May 20 21:26:58 2020, 1589990222.948, 0.55, 0.2414, 0.63, 0.2448, 0
model-Wed May 20 21:26:58 2020, 1589990223.012, 0.58, 0.2473, 0.57, 0.2425, 0
model-Wed May 20 21:26:58 2020, 1589990223.077, 0.65, 0.2354, 0.61, 0.248, 0
model-Wed May 20 21:26:58 2020, 1589990223.14, 0.59, 0.2439, 0.59, 0.2401, 0
model-Wed May 20 21:26:58 2020, 1589990223.205, 0.6, 0.2448, 0.59, 0.2425, 0
model-Wed May 20 21:26:58 2020, 1589990223.269, 0.67, 0.2396, 0.59, 0.234, 0
model-Wed May 20 21:26:58 2020, 1589990223.334, 0.54, 0.2474, 0.56, 0.2433, 0
model-Wed May 20 21:26:58 2020, 1589990223.398, 0.61, 0.232, 0.6, 0.2354, 0
model-Wed May 20 21:26:58 2020, 1589990223.464, 0.51, 0.2477, 0.54, 0.243, 0
model-Wed May 20 21:26:58 2020, 1589990223.527, 0.55, 0.2459, 0.53, 0.2572, 0
model-Wed May 20 21:26:58 2020, 1589990223.592, 0.52, 0.2441, 0.59, 0.2366, 0
model-Wed May 20 21:26:58 2020, 1589990223.655, 0.54, 0.2504, 0.47, 0.2592, 0
model-Wed May 20 21:26:58 2020, 1589990223.72, 0.54, 0.2459, 0.6, 0.2423, 0
model-Wed May 20 21:26:58 2020, 1589990223.783, 0.47, 0.2558, 0.62, 0.2305, 0
model-Wed May 20 21:26:58 2020, 1589990223.857, 0.66, 0.2304, 0.63, 0.2308, 0
model-Wed May 20 21:26:58 2020, 1589990223.921, 0.58, 0.2339, 0.52, 0.2429, 0
model-Wed May 20 21:26:58 2020, 1589990223.987, 0.48, 0.2453, 0.53, 0.2462, 0
model-Wed May 20 21:26:58 2020, 1589990224.051, 0.46, 0.2609, 0.55, 0.2414, 0
model-Wed May 20 21:26:58 2020, 1589990224.118, 0.54, 0.2368, 0.52, 0.2436, 0
model-Wed May 20 21:26:58 2020, 1589990224.182, 0.52, 0.2491, 0.54, 0.2426, 0
model-Wed May 20 21:26:58 2020, 1589990224.249, 0.66, 0.2369, 0.61, 0.2446, 0
model-Wed May 20 21:26:58 2020, 1589990224.313, 0.56, 0.2438, 0.58, 0.242, 0
model-Wed May 20 21:26:58 2020, 1589990224.377, 0.48, 0.2514, 0.62, 0.238, 0
model-Wed May 20 21:26:58 2020, 1589990224.441, 0.55, 0.2424, 0.61, 0.2431, 0
model-Wed May 20 21:26:58 2020, 1589990224.506, 0.65, 0.239, 0.58, 0.2356, 0
model-Wed May 20 21:26:58 2020, 1589990224.57, 0.61, 0.2364, 0.63, 0.2382, 0
model-Wed May 20 21:26:58 2020, 1589990224.636, 0.58, 0.2434, 0.61, 0.2421, 0
model-Wed May 20 21:26:58 2020, 1589990224.7, 0.71, 0.2261, 0.58, 0.2393, 0
model-Wed May 20 21:26:58 2020, 1589990224.765, 0.72, 0.2257, 0.54, 0.2455, 0
model-Wed May 20 21:26:58 2020, 1589990224.831, 0.7, 0.2246, 0.63, 0.2403, 0
model-Wed May 20 21:26:58 2020, 1589990224.897, 0.62, 0.2298, 0.55, 0.2382, 0
model-Wed May 20 21:26:58 2020, 1589990224.961, 0.61, 0.2343, 0.64, 0.234, 0
model-Wed May 20 21:26:58 2020, 1589990225.025, 0.66, 0.2209, 0.55, 0.2531, 0
model-Wed May 20 21:26:58 2020, 1589990225.089, 0.51, 0.2478, 0.64, 0.2068, 0
model-Wed May 20 21:26:58 2020, 1589990225.153, 0.59, 0.2381, 0.52, 0.2592, 0
model-Wed May 20 21:26:58 2020, 1589990225.217, 0.58, 0.242, 0.56, 0.2398, 0
model-Wed May 20 21:26:58 2020, 1589990225.281, 0.57, 0.2363, 0.53, 0.2448, 0
model-Wed May 20 21:26:58 2020, 1589990225.354, 0.72, 0.2006, 0.61, 0.2479, 0
model-Wed May 20 21:26:58 2020, 1589990225.42, 0.62, 0.2357, 0.5, 0.2555, 0
model-Wed May 20 21:26:58 2020, 1589990225.484, 0.54, 0.2578, 0.66, 0.2116, 0
model-Wed May 20 21:26:58 2020, 1589990225.548, 0.63, 0.2204, 0.64, 0.2545, 0
model-Wed May 20 21:26:58 2020, 1589990225.612, 0.62, 0.2381, 0.57, 0.2433, 0
model-Wed May 20 21:26:58 2020, 1589990225.677, 0.61, 0.236, 0.59, 0.2366, 0
model-Wed May 20 21:26:58 2020, 1589990225.743, 0.64, 0.2402, 0.6, 0.2408, 0
model-Wed May 20 21:26:58 2020, 1589990225.808, 0.58, 0.228, 0.61, 0.2293, 0
model-Wed May 20 21:26:58 2020, 1589990225.87, 0.66, 0.2248, 0.57, 0.2303, 0
model-Wed May 20 21:26:58 2020, 1589990225.935, 0.62, 0.2351, 0.55, 0.2578, 0
model-Wed May 20 21:26:58 2020, 1589990225.999, 0.59, 0.2415, 0.57, 0.2595, 0
model-Wed May 20 21:26:58 2020, 1589990226.063, 0.55, 0.2538, 0.56, 0.2438, 0
model-Wed May 20 21:26:58 2020, 1589990226.128, 0.61, 0.2389, 0.62, 0.2287, 0
model-Wed May 20 21:26:58 2020, 1589990226.193, 0.64, 0.2243, 0.63, 0.2207, 0
model-Wed May 20 21:26:58 2020, 1589990226.256, 0.66, 0.2201, 0.58, 0.242, 0
model-Wed May 20 21:26:58 2020, 1589990226.321, 0.65, 0.23, 0.6, 0.2278, 0
model-Wed May 20 21:26:58 2020, 1589990226.386, 0.63, 0.2346, 0.65, 0.218, 0
model-Wed May 20 21:26:58 2020, 1589990226.452, 0.7, 0.2231, 0.57, 0.2424, 0
model-Wed May 20 21:26:58 2020, 1589990226.517, 0.52, 0.2525, 0.59, 0.2358, 0
model-Wed May 20 21:26:58 2020, 1589990226.582, 0.55, 0.2521, 0.54, 0.2448, 0
model-Wed May 20 21:26:58 2020, 1589990226.646, 0.61, 0.2299, 0.54, 0.2458, 0
model-Wed May 20 21:26:58 2020, 1589990226.711, 0.59, 0.2399, 0.63, 0.2258, 0
model-Wed May 20 21:26:58 2020, 1589990226.774, 0.62, 0.2313, 0.6, 0.2357, 0
model-Wed May 20 21:26:58 2020, 1589990226.839, 0.64, 0.2301, 0.73, 0.2186, 0
model-Wed May 20 21:26:58 2020, 1589990226.902, 0.68, 0.2186, 0.72, 0.2207, 0
model-Wed May 20 21:26:58 2020, 1589990226.968, 0.59, 0.2409, 0.52, 0.2529, 0
model-Wed May 20 21:26:58 2020, 1589990227.031, 0.59, 0.2422, 0.57, 0.2593, 0
model-Wed May 20 21:26:58 2020, 1589990227.096, 0.57, 0.2502, 0.63, 0.2347, 0
model-Wed May 20 21:26:58 2020, 1589990227.16, 0.64, 0.2369, 0.62, 0.2376, 0
model-Wed May 20 21:26:58 2020, 1589990227.224, 0.63, 0.2229, 0.59, 0.2409, 0
model-Wed May 20 21:26:58 2020, 1589990227.288, 0.52, 0.243, 0.62, 0.2314, 0
model-Wed May 20 21:26:58 2020, 1589990227.352, 0.71, 0.2216, 0.55, 0.2448, 0
model-Wed May 20 21:26:58 2020, 1589990227.415, 0.56, 0.238, 0.61, 0.2414, 0
model-Wed May 20 21:26:58 2020, 1589990227.48, 0.57, 0.2409, 0.61, 0.2382, 0
model-Wed May 20 21:26:58 2020, 1589990227.544, 0.58, 0.2366, 0.61, 0.232, 0
model-Wed May 20 21:26:58 2020, 1589990227.618, 0.54, 0.2561, 0.6, 0.2228, 0
model-Wed May 20 21:26:58 2020, 1589990227.682, 0.7, 0.219, 0.63, 0.2324, 0
model-Wed May 20 21:26:58 2020, 1589990227.746, 0.68, 0.2095, 0.6, 0.2359, 0
model-Wed May 20 21:26:58 2020, 1589990227.809, 0.6, 0.2339, 0.55, 0.2406, 0
model-Wed May 20 21:26:58 2020, 1589990227.873, 0.75, 0.2043, 0.57, 0.241, 0
model-Wed May 20 21:26:58 2020, 1589990227.937, 0.53, 0.2504, 0.64, 0.2236, 0
model-Wed May 20 21:26:58 2020, 1589990228.002, 0.56, 0.2372, 0.66, 0.2169, 0
model-Wed May 20 21:26:58 2020, 1589990228.077, 0.71, 0.2271, 0.62, 0.2349, 0
model-Wed May 20 21:26:58 2020, 1589990228.14, 0.65, 0.2359, 0.63, 0.2275, 0
model-Wed May 20 21:26:58 2020, 1589990228.205, 0.57, 0.2404, 0.56, 0.2518, 0
model-Wed May 20 21:26:58 2020, 1589990228.27, 0.69, 0.2029, 0.6, 0.2238, 0
model-Wed May 20 21:26:58 2020, 1589990228.333, 0.69, 0.2089, 0.64, 0.2407, 0
model-Wed May 20 21:26:58 2020, 1589990228.399, 0.59, 0.2375, 0.6, 0.2402, 0
model-Wed May 20 21:26:58 2020, 1589990228.462, 0.52, 0.2482, 0.62, 0.2301, 0
model-Wed May 20 21:26:58 2020, 1589990228.526, 0.64, 0.2316, 0.6, 0.2322, 0
model-Wed May 20 21:26:58 2020, 1589990228.59, 0.61, 0.2338, 0.63, 0.2298, 0
model-Wed May 20 21:26:58 2020, 1589990228.655, 0.58, 0.2365, 0.55, 0.257, 0
model-Wed May 20 21:26:58 2020, 1589990228.719, 0.66, 0.2372, 0.71, 0.2019, 0
model-Wed May 20 21:26:58 2020, 1589990228.784, 0.72, 0.2133, 0.7, 0.2155, 0
model-Wed May 20 21:26:58 2020, 1589990228.851, 0.64, 0.2252, 0.63, 0.2242, 0
model-Wed May 20 21:26:58 2020, 1589990228.923, 0.59, 0.2365, 0.64, 0.2206, 0
model-Wed May 20 21:26:58 2020, 1589990228.987, 0.62, 0.232, 0.62, 0.2468, 0
model-Wed May 20 21:26:58 2020, 1589990229.059, 0.56, 0.2471, 0.53, 0.2652, 0
model-Wed May 20 21:26:58 2020, 1589990229.123, 0.61, 0.2277, 0.65, 0.2343, 0
model-Wed May 20 21:26:58 2020, 1589990229.187, 0.62, 0.2223, 0.69, 0.2218, 0
model-Wed May 20 21:26:58 2020, 1589990229.251, 0.63, 0.2168, 0.6, 0.2216, 0
model-Wed May 20 21:26:58 2020, 1589990229.318, 0.6, 0.2363, 0.63, 0.2229, 0
model-Wed May 20 21:26:58 2020, 1589990229.392, 0.51, 0.2599, 0.59, 0.2236, 0
model-Wed May 20 21:26:58 2020, 1589990229.458, 0.61, 0.2364, 0.59, 0.2337, 0
model-Wed May 20 21:26:58 2020, 1589990229.523, 0.61, 0.2393, 0.54, 0.2439, 0
model-Wed May 20 21:26:58 2020, 1589990229.622, 0.53, 0.2388, 0.56, 0.2318, 0
model-Wed May 20 21:26:58 2020, 1589990229.695, 0.63, 0.2256, 0.58, 0.2254, 0
model-Wed May 20 21:26:58 2020, 1589990229.762, 0.67, 0.2096, 0.65, 0.2241, 0
model-Wed May 20 21:26:58 2020, 1589990229.826, 0.49, 0.2521, 0.62, 0.2237, 0
model-Wed May 20 21:26:58 2020, 1589990229.891, 0.62, 0.2401, 0.6, 0.2356, 0
model-Wed May 20 21:26:58 2020, 1589990229.955, 0.65, 0.2213, 0.65, 0.2145, 0
model-Wed May 20 21:26:58 2020, 1589990230.02, 0.63, 0.2337, 0.55, 0.2479, 0
model-Wed May 20 21:26:58 2020, 1589990230.103, 0.63, 0.226, 0.54, 0.2372, 0
model-Wed May 20 21:26:58 2020, 1589990230.168, 0.65, 0.2223, 0.56, 0.2376, 0
model-Wed May 20 21:26:58 2020, 1589990230.232, 0.6, 0.2342, 0.53, 0.2524, 0
model-Wed May 20 21:26:58 2020, 1589990230.297, 0.64, 0.2217, 0.55, 0.2396, 0
model-Wed May 20 21:26:58 2020, 1589990230.36, 0.62, 0.2215, 0.62, 0.2352, 0
model-Wed May 20 21:26:58 2020, 1589990230.425, 0.58, 0.2363, 0.65, 0.2168, 0
model-Wed May 20 21:26:58 2020, 1589990230.488, 0.67, 0.2169, 0.66, 0.2118, 0
model-Wed May 20 21:26:58 2020, 1589990230.553, 0.55, 0.2354, 0.63, 0.2362, 0
model-Wed May 20 21:26:58 2020, 1589990230.617, 0.65, 0.2308, 0.62, 0.223, 0
model-Wed May 20 21:26:58 2020, 1589990230.682, 0.56, 0.2475, 0.57, 0.2341, 0
model-Wed May 20 21:26:58 2020, 1589990230.744, 0.61, 0.2431, 0.57, 0.2342, 0
model-Wed May 20 21:26:58 2020, 1589990230.808, 0.65, 0.2319, 0.72, 0.2043, 0
model-Wed May 20 21:26:58 2020, 1589990230.871, 0.66, 0.2197, 0.66, 0.2163, 0
model-Wed May 20 21:26:58 2020, 1589990230.946, 0.54, 0.2495, 0.65, 0.2138, 0
model-Wed May 20 21:26:58 2020, 1589990231.01, 0.63, 0.2286, 0.62, 0.2228, 0
model-Wed May 20 21:26:58 2020, 1589990231.074, 0.57, 0.2386, 0.62, 0.2223, 0
